full_name,race,gender,age,job_title,state,city,zip_code
Gabby Ygoe,Black,Male,27,Marketing Manager,New York,Jamaica,11499
Perice Elloit,White,Male,51,Mechanical Engineer,New York,New York City,10280
Julian Abbott,White,Male,37,Legal Assistant,New York,New York City,10090
Rudolph Extill,Hispanic,Male,69,Data Analyst,New York,Albany,12210
Sondra Malter,Black,Female,31,Clinical Specialist,New York,New York City,10099
Noll Bachelor,Black,Male,44,Quality Control Specialist,New York,Flushing,11355
Adelheid Instone,White,Female,30,Director of Sales,New York,Syracuse,13210
Kyla Champley,White,Female,38,Registered Nurse,New York,New York City,10099
Cherrita Sailes,White,Female,60,Paralegal,New York,Brooklyn,11231
Agathe Sauvage,White,Female,40,GIS Technical Architect,New York,New York City,10079
Dorice Bramsen,Black,Female,67,Junior Executive,New York,Brooklyn,11215
Sonnie Crowche,American Indian & Alaska Native,Male,49,Legal Assistant,New York,Flushing,11355
Marwin Barrass,White,Male,31,Actuary,New York,New York City,10014
Cari Northcott,White,Female,65,Business Systems Development Analyst,New York,Buffalo,14225
Ode Barneville,White,Male,26,Nurse,New York,Rochester,14646
Janice Belfield,Asian,Female,35,Administrative Officer,New York,Jamaica,11480
Flossi Imos,White,Female,21,Pharmacist,New York,Brooklyn,11205
Kyle Fewless,Black,Female,30,Dental Hygienist,New York,Mount Vernon,10557
Barbra Pepler,White,Female,52,Senior Editor,New York,New York City,10184
Bessie Brim,White,Female,31,Nurse,New York,New York City,10110
Gianni Albasini,White,Male,34,Executive Assistant,New York,New York City,10270
Walton Deppe,White,Male,27,Web Designer,New York,Syracuse,13210
Everett Duffree,White,Male,38,GIS Technical Architect,New York,New York City,10110
Lisle Howe,White,Male,58,Graphic Designer,New York,Bronx,10454
Charis Ingliss,Hispanic,Female,56,Food Chemist,New York,New York City,10160
Onida Stuther,White,Female,69,Senior Developer,New York,Bronx,10454
Clemmy Martusov,Black,Male,47,Human Resources,New York,Rochester,14639
Gates Ernke,White,Female,25,Geologist,New York,New York City,10060
Menard Schreurs,Other,Male,19,Nurse Practitioner,New York,Rochester,14614
Rube Wainer,Black,Male,62,Data Analyst,New York,Port Washington,11054
Wilhelmine Hoffmann,White,Female,45,Senior Sales Associate,New York,New York City,10184
Morris People,Hispanic,Male,44,Data Analyst,New York,Syracuse,13217
